respondent_id,xyz_vaccine,seasonal_vaccine
26901,0.11,0.11
26902,0.69,0.69
26903,0.05,0.05
26904,0.31,0.31
26905,0.72,0.72
26906,0.13,0.13
26907,0.68,0.68
26908,0.42,0.42
26909,0.25,0.25
26910,0.44,0.44
26911,0.06,0.06
26912,0.81,0.81
26913,0.49,0.49
26914,0.1,0.1
26915,0.81,0.81
26916,0.07,0.07
26917,0.3,0.3
26918,0.25,0.25
26919,0.41,0.41
26920,0.02,0.02
26921,0.76,0.76
26922,0.8,0.8
26923,0.39,0.39
26924,0.23,0.23
26925,0.08,0.08
26926,0.36,0.36
26927,0.63,0.63
26928,0.7,0.7
26929,0.06,0.06
26930,0.74,0.74
26931,0.11,0.11
26932,0.88,0.88
26933,0.71,0.71
26934,0.52,0.52
26935,0.09,0.09
26936,0.08,0.08
26937,0.51,0.51
26938,0.02,0.02
26939,0.16,0.16
26940,0.35,0.35
26941,0.07,0.07
26942,0.51,0.51
26943,0.86,0.86
26944,0.12,0.12
26945,0.14,0.14
26946,0.65,0.65
26947,0.38,0.38
26948,0.03,0.03
26949,0.13,0.13
26950,0.15,0.15
26951,0.39,0.39
26952,0.77,0.77
26953,0.84,0.84
26954,0.1,0.1
26955,0.16,0.16
26956,0.32,0.32
26957,0.84,0.84
26958,0.48,0.48
26959,0.07,0.07
26960,0.07,0.07
26961,0.52,0.52
26962,0.73,0.73
26963,0.08,0.08
26964,0.09,0.09
26965,0.54,0.54
26966,0.17,0.17
26967,0.16,0.16
26968,0.28,0.28
26969,0.25,0.25
26970,0.23,0.23
26971,0.12,0.12
26972,0.11,0.11
26973,0.06,0.06
26974,0.19,0.19
26975,0.22,0.22
26976,0.81,0.81
26977,0.18,0.18
26978,0.71,0.71
26979,0.26,0.26
26980,0.02,0.02
26981,0.29,0.29
26982,0.81,0.81
26983,0.25,0.25
26984,0.02,0.02
26985,0.11,0.11
26986,0.09,0.09
26987,0.05,0.05
26988,0.16,0.16
26989,0.13,0.13
26990,0.21,0.21
26991,0.79,0.79
26992,0.69,0.69
26993,0.17,0.17
26994,0.24,0.24
26995,0.43,0.43
26996,0.11,0.11
26997,0.02,0.02
26998,0.09,0.09
26999,0.66,0.66
27000,0.15,0.15
27001,0.72,0.72
27002,0.74,0.74
27003,0.13,0.13
27004,0.42,0.42
27005,0.2,0.2
27006,0.79,0.79
27007,0.11,0.11
27008,0.08,0.08
27009,0.14,0.14
27010,0.02,0.02
27011,0.05,0.05
27012,0.7,0.7
27013,0.32,0.32
27014,0.25,0.25
27015,0.37,0.37
27016,0.13,0.13
27017,0.18,0.18
27018,0.12,0.12
27019,0.75,0.75
27020,0.7,0.7
27021,0.2,0.2
27022,0.04,0.04
27023,0.08,0.08
27024,0.27,0.27
27025,0.12,0.12
27026,0.35,0.35
27027,0.27,0.27
27028,0.11,0.11
27029,0.04,0.04
27030,0.65,0.65
27031,0.55,0.55
27032,0.17,0.17
27033,0.21,0.21
27034,0.73,0.73
27035,0.09,0.09
27036,0.35,0.35
27037,0.55,0.55
27038,0.03,0.03
27039,0.87,0.87
27040,0.12,0.12
27041,0.09,0.09
27042,0.75,0.75
27043,0.76,0.76
27044,0.04,0.04
27045,0.12,0.12
27046,0.01,0.01
27047,0.72,0.72
27048,0.37,0.37
27049,0.22,0.22
27050,0.11,0.11
27051,0.17,0.17
27052,0.21,0.21
27053,0.61,0.61
27054,0.06,0.06
27055,0.77,0.77
27056,0.16,0.16
27057,0.02,0.02
27058,0.81,0.81
27059,0.1,0.1
27060,0.15,0.15
27061,0.39,0.39
27062,0.25,0.25
27063,0.65,0.65
27064,0.15,0.15
27065,0.07,0.07
27066,0.27,0.27
27067,0.17,0.17
27068,0.59,0.59
27069,0.6,0.6
27070,0.09,0.09
27071,0.16,0.16
27072,0.79,0.79
27073,0.76,0.76
27074,0.01,0.01
27075,0.88,0.88
27076,0.22,0.22
27077,0.09,0.09
27078,0.16,0.16
27079,0.59,0.59
27080,0.14,0.14
27081,0.39,0.39
27082,0.14,0.14
27083,0.32,0.32
27084,0.24,0.24
27085,0.02,0.02
27086,0.06,0.06
27087,0.12,0.12
27088,0.8,0.8
27089,0.18,0.18
27090,0.17,0.17
27091,0.23,0.23
27092,0.04,0.04
27093,0.08,0.08
27094,0.06,0.06
27095,0.12,0.12
27096,0.1,0.1
27097,0.57,0.57
27098,0.91,0.91
27099,0.04,0.04
27100,0.4,0.4
27101,0.09,0.09
27102,0.82,0.82
27103,0.09,0.09
27104,0.21,0.21
27105,0.16,0.16
27106,0.19,0.19
27107,0.77,0.77
27108,0.28,0.28
27109,0.17,0.17
27110,0.06,0.06
27111,0.15,0.15
27112,0.75,0.75
27113,0.03,0.03
27114,0.12,0.12
27115,0.86,0.86
27116,0.43,0.43
27117,0.06,0.06
27118,0.53,0.53
27119,0.1,0.1
27120,0.82,0.82
27121,0.67,0.67
27122,0.36,0.36
27123,0.14,0.14
27124,0.03,0.03
27125,0.04,0.04
27126,0.08,0.08
27127,0.16,0.16
27128,0.19,0.19
27129,0.43,0.43
27130,0.21,0.21
27131,0.07,0.07
27132,0.87,0.87
27133,0.54,0.54
27134,0.19,0.19
27135,0.31,0.31
27136,0.12,0.12
27137,0.11,0.11
27138,0.18,0.18
27139,0.07,0.07
27140,0.85,0.85
27141,0.88,0.88
27142,0.17,0.17
27143,0.06,0.06
27144,0.24,0.24
27145,0.65,0.65
27146,0.82,0.82
27147,0.05,0.05
27148,0.11,0.11
27149,0.04,0.04
27150,0.82,0.82
27151,0.05,0.05
27152,0.04,0.04
27153,0.53,0.53
27154,0.74,0.74
27155,0.19,0.19
27156,0.13,0.13
27157,0.76,0.76
27158,0.12,0.12
27159,0.3,0.3
27160,0.14,0.14
27161,0.08,0.08
27162,0.84,0.84
27163,0.68,0.68
27164,0.11,0.11
27165,0.78,0.78
27166,0.3,0.3
27167,0.18,0.18
27168,0.93,0.93
27169,0.7,0.7
27170,0.14,0.14
27171,0.03,0.03
27172,0.37,0.37
27173,0.73,0.73
27174,0.26,0.26
27175,0.07,0.07
27176,0.84,0.84
27177,0.93,0.93
27178,0.07,0.07
27179,0.14,0.14
27180,0.12,0.12
27181,0.7,0.7
27182,0.86,0.86
27183,0.17,0.17
27184,0.03,0.03
27185,0.76,0.76
27186,0.34,0.34
27187,0.09,0.09
27188,0.05,0.05
27189,0.1,0.1
27190,0.77,0.77
27191,0.86,0.86
27192,0.39,0.39
27193,0.05,0.05
27194,0.11,0.11
27195,0.05,0.05
27196,0.26,0.26
27197,0.78,0.78
27198,0.62,0.62
27199,0.35,0.35
27200,0.08,0.08
27201,0.5,0.5
27202,0.13,0.13
27203,0.04,0.04
27204,0.07,0.07
27205,0.2,0.2
27206,0.22,0.22
27207,0.2,0.2
27208,0.18,0.18
27209,0.21,0.21
27210,0.06,0.06
27211,0.03,0.03
27212,0.8,0.8
27213,0.73,0.73
27214,0.04,0.04
27215,0.71,0.71
27216,0.15,0.15
27217,0.1,0.1
27218,0.74,0.74
27219,0.07,0.07
27220,0.1,0.1
27221,0.21,0.21
27222,0.29,0.29
27223,0.2,0.2
27224,0.1,0.1
27225,0.07,0.07
27226,0.06,0.06
27227,0.11,0.11
27228,0.19,0.19
27229,0.9,0.9
27230,0.86,0.86
27231,0.21,0.21
27232,0.2,0.2
27233,0.73,0.73
27234,0.05,0.05
27235,0.79,0.79
27236,0.28,0.28
27237,0.16,0.16
27238,0.24,0.24
27239,0.1,0.1
27240,0.51,0.51
27241,0.07,0.07
27242,0.22,0.22
27243,0.15,0.15
27244,0.07,0.07
27245,0.13,0.13
27246,0.84,0.84
27247,0.77,0.77
27248,0.11,0.11
27249,0.13,0.13
27250,0.11,0.11
27251,0.42,0.42
27252,0.76,0.76
27253,0.42,0.42
27254,0.8,0.8
27255,0.08,0.08
27256,0.91,0.91
27257,0.71,0.71
27258,0.33,0.33
27259,0.46,0.46
27260,0.42,0.42
27261,0.17,0.17
27262,0.1,0.1
27263,0.08,0.08
27264,0.3,0.3
27265,0.69,0.69
27266,0.12,0.12
27267,0.82,0.82
27268,0.06,0.06
27269,0.2,0.2
27270,0.07,0.07
27271,0.15,0.15
27272,0.81,0.81
27273,0.09,0.09
27274,0.15,0.15
27275,0.2,0.2
27276,0.11,0.11
27277,0.82,0.82
27278,0.25,0.25
27279,0.32,0.32
27280,0.74,0.74
27281,0.04,0.04
27282,0.61,0.61
27283,0.08,0.08
27284,0.75,0.75
27285,0.15,0.15
27286,0.34,0.34
27287,0.09,0.09
27288,0.51,0.51
27289,0.09,0.09
27290,0.11,0.11
27291,0.84,0.84
27292,0.71,0.71
27293,0.86,0.86
27294,0.1,0.1
27295,0.19,0.19
27296,0.8,0.8
27297,0.34,0.34
27298,0.1,0.1
27299,0.53,0.53
27300,0.61,0.61
27301,0.06,0.06
27302,0.2,0.2
27303,0.29,0.29
27304,0.25,0.25
27305,0.04,0.04
27306,0.09,0.09
27307,0.74,0.74
27308,0.14,0.14
27309,0.68,0.68
27310,0.1,0.1
27311,0.11,0.11
27312,0.22,0.22
27313,0.06,0.06
27314,0.02,0.02
27315,0.19,0.19
27316,0.84,0.84
27317,0.07,0.07
27318,0.11,0.11
27319,0.15,0.15
27320,0.55,0.55
27321,0.18,0.18
27322,0.11,0.11
27323,0.63,0.63
27324,0.07,0.07
27325,0.8,0.8
27326,0.14,0.14
27327,0.05,0.05
27328,0.71,0.71
27329,0.16,0.16
27330,0.74,0.74
27331,0.16,0.16
27332,0.73,0.73
27333,0.79,0.79
27334,0.02,0.02
27335,0.07,0.07
27336,0.14,0.14
27337,0.09,0.09
27338,0.13,0.13
27339,0.29,0.29
27340,0.32,0.32
27341,0.47,0.47
27342,0.75,0.75
27343,0.03,0.03
27344,0.09,0.09
27345,0.21,0.21
27346,0.92,0.92
27347,0.86,0.86
27348,0.03,0.03
27349,0.04,0.04
27350,0.81,0.81
27351,0.87,0.87
27352,0.05,0.05
27353,0.06,0.06
27354,0.17,0.17
27355,0.26,0.26
27356,0.05,0.05
27357,0.18,0.18
27358,0.35,0.35
27359,0.83,0.83
27360,0.13,0.13
27361,0.73,0.73
27362,0.52,0.52
27363,0.1,0.1
27364,0.28,0.28
27365,0.15,0.15
27366,0.19,0.19
27367,0.15,0.15
27368,0.11,0.11
27369,0.02,0.02
27370,0.82,0.82
27371,0.61,0.61
27372,0.16,0.16
27373,0.83,0.83
27374,0.03,0.03
27375,0.79,0.79
27376,0.71,0.71
27377,0.73,0.73
27378,0.04,0.04
27379,0.11,0.11
27380,0.82,0.82
27381,0.68,0.68
27382,0.15,0.15
27383,0.59,0.59
27384,0.11,0.11
27385,0.85,0.85
27386,0.65,0.65
27387,0.66,0.66
27388,0.07,0.07
27389,0.13,0.13
27390,0.06,0.06
27391,0.55,0.55
27392,0.2,0.2
27393,0.06,0.06
27394,0.74,0.74
27395,0.41,0.41
27396,0.01,0.01
27397,0.68,0.68
27398,0.71,0.71
27399,0.71,0.71
27400,0.75,0.75
27401,0.23,0.23
27402,0.13,0.13
27403,0.08,0.08
27404,0.06,0.06
27405,0.82,0.82
27406,0.03,0.03
27407,0.06,0.06
27408,0.19,0.19
27409,0.84,0.84
27410,0.08,0.08
27411,0.05,0.05
27412,0.83,0.83
27413,0.14,0.14
27414,0.7,0.7
27415,0.11,0.11
27416,0.12,0.12
27417,0.16,0.16
27418,0.02,0.02
27419,0.89,0.89
27420,0.04,0.04
27421,0.31,0.31
27422,0.23,0.23
27423,0.08,0.08
27424,0.32,0.32
27425,0.53,0.53
27426,0.13,0.13
27427,0.05,0.05
27428,0.04,0.04
27429,0.09,0.09
27430,0.7,0.7
27431,0.19,0.19
27432,0.16,0.16
27433,0.85,0.85
27434,0.07,0.07
27435,0.22,0.22
27436,0.11,0.11
27437,0.01,0.01
27438,0.14,0.14
27439,0.22,0.22
27440,0.27,0.27
27441,0.77,0.77
27442,0.9,0.9
27443,0.04,0.04
27444,0.21,0.21
27445,0.09,0.09
27446,0.05,0.05
27447,0.08,0.08
27448,0.36,0.36
27449,0.8,0.8
27450,0.88,0.88
27451,0.06,0.06
27452,0.11,0.11
27453,0.74,0.74
27454,0.12,0.12
27455,0.11,0.11
27456,0.12,0.12
27457,0.04,0.04
27458,0.22,0.22
27459,0.14,0.14
27460,0.51,0.51
27461,0.14,0.14
27462,0.09,0.09
27463,0.06,0.06
27464,0.67,0.67
27465,0.23,0.23
27466,0.05,0.05
27467,0.23,0.23
27468,0.09,0.09
27469,0.69,0.69
27470,0.76,0.76
27471,0.14,0.14
27472,0.11,0.11
27473,0.11,0.11
27474,0.12,0.12
27475,0.08,0.08
27476,0.76,0.76
27477,0.05,0.05
27478,0.14,0.14
27479,0.07,0.07
27480,0.34,0.34
27481,0.81,0.81
27482,0.19,0.19
27483,0.55,0.55
27484,0.34,0.34
27485,0.24,0.24
27486,0.32,0.32
27487,0.82,0.82
27488,0.88,0.88
27489,0.73,0.73
27490,0.72,0.72
27491,0.09,0.09
27492,0.72,0.72
27493,0.43,0.43
27494,0.69,0.69
27495,0.1,0.1
27496,0.05,0.05
27497,0.02,0.02
27498,0.37,0.37
27499,0.21,0.21
27500,0.69,0.69
27501,0.07,0.07
27502,0.8,0.8
27503,0.2,0.2
27504,0.07,0.07
27505,0.06,0.06
27506,0.21,0.21
27507,0.02,0.02
27508,0.28,0.28
27509,0.11,0.11
27510,0.07,0.07
27511,0.79,0.79
27512,0.27,0.27
27513,0.4,0.4
27514,0.13,0.13
27515,0.17,0.17
27516,0.11,0.11
27517,0.07,0.07
27518,0.84,0.84
27519,0.15,0.15
27520,0.02,0.02
27521,0.66,0.66
27522,0.29,0.29
27523,0.09,0.09
27524,0.13,0.13
27525,0.12,0.12
27526,0.17,0.17
27527,0.42,0.42
27528,0.84,0.84
27529,0.17,0.17
27530,0.09,0.09
27531,0.03,0.03
27532,0.83,0.83
27533,0.19,0.19
27534,0.13,0.13
27535,0.77,0.77
27536,0.13,0.13
27537,0.75,0.75
27538,0.19,0.19
27539,0.62,0.62
27540,0.11,0.11
27541,0.73,0.73
27542,0.03,0.03
27543,0.77,0.77
27544,0.09,0.09
27545,0.07,0.07
27546,0.22,0.22
27547,0.07,0.07
27548,0.8,0.8
27549,0.8,0.8
27550,0.07,0.07
27551,0.13,0.13
27552,0.81,0.81
27553,0.14,0.14
27554,0.72,0.72
27555,0.25,0.25
27556,0.18,0.18
27557,0.69,0.69
27558,0.19,0.19
27559,0.73,0.73
27560,0.58,0.58
27561,0.67,0.67
27562,0.06,0.06
27563,0.15,0.15
27564,0.31,0.31
27565,0.06,0.06
27566,0.07,0.07
27567,0.13,0.13
27568,0.92,0.92
27569,0.05,0.05
27570,0.21,0.21
27571,0.03,0.03
27572,0.1,0.1
27573,0.24,0.24
27574,0.6,0.6
27575,0.69,0.69
27576,0.07,0.07
27577,0.34,0.34
27578,0.12,0.12
27579,0.13,0.13
27580,0.18,0.18
27581,0.08,0.08
27582,0.05,0.05
27583,0.18,0.18
27584,0.69,0.69
27585,0.37,0.37
27586,0.7,0.7
27587,0.22,0.22
27588,0.08,0.08
27589,0.13,0.13
27590,0.24,0.24
27591,0.56,0.56
27592,0.03,0.03
27593,0.12,0.12
27594,0.2,0.2
27595,0.27,0.27
27596,0.08,0.08
27597,0.71,0.71
27598,0.74,0.74
27599,0.82,0.82
27600,0.15,0.15
27601,0.71,0.71
27602,0.8,0.8
27603,0.06,0.06
27604,0.29,0.29
27605,0.81,0.81
27606,0.09,0.09
27607,0.73,0.73
27608,0.1,0.1
27609,0.37,0.37
27610,0.36,0.36
27611,0.23,0.23
27612,0.13,0.13
27613,0.88,0.88
27614,0.15,0.15
27615,0.8,0.8
27616,0.09,0.09
27617,0.75,0.75
27618,0.8,0.8
27619,0.21,0.21
27620,0.34,0.34
27621,0.36,0.36
27622,0.87,0.87
27623,0.41,0.41
27624,0.48,0.48
27625,0.65,0.65
27626,0.07,0.07
27627,0.85,0.85
27628,0.81,0.81
27629,0.04,0.04
27630,0.75,0.75
27631,0.12,0.12
27632,0.32,0.32
27633,0.11,0.11
27634,0.51,0.51
27635,0.28,0.28
27636,0.76,0.76
27637,0.05,0.05
27638,0.44,0.44
27639,0.13,0.13
27640,0.18,0.18
27641,0.31,0.31
27642,0.75,0.75
27643,0.15,0.15
27644,0.12,0.12
27645,0.05,0.05
27646,0.17,0.17
27647,0.67,0.67
27648,0.04,0.04
27649,0.47,0.47
27650,0.09,0.09
27651,0.28,0.28
27652,0.68,0.68
27653,0.12,0.12
27654,0.17,0.17
27655,0.06,0.06
27656,0.07,0.07
27657,0.16,0.16
27658,0.2,0.2
27659,0.05,0.05
27660,0.19,0.19
27661,0.11,0.11
27662,0.14,0.14
27663,0.74,0.74
27664,0.08,0.08
27665,0.8,0.8
27666,0.34,0.34
27667,0.05,0.05
27668,0.89,0.89
27669,0.54,0.54
27670,0.93,0.93
27671,0.49,0.49
27672,0.04,0.04
27673,0.09,0.09
27674,0.22,0.22
27675,0.82,0.82
27676,0.8,0.8
27677,0.12,0.12
27678,0.05,0.05
27679,0.42,0.42
27680,0.63,0.63
27681,0.08,0.08
27682,0.55,0.55
27683,0.12,0.12
27684,0.06,0.06
27685,0.03,0.03
27686,0.11,0.11
27687,0.25,0.25
27688,0.16,0.16
27689,0.69,0.69
27690,0.82,0.82
27691,0.88,0.88
27692,0.41,0.41
27693,0.27,0.27
27694,0.48,0.48
27695,0.39,0.39
27696,0.09,0.09
27697,0.76,0.76
27698,0.83,0.83
27699,0.07,0.07
27700,0.12,0.12
27701,0.36,0.36
27702,0.76,0.76
27703,0.07,0.07
27704,0.05,0.05
27705,0.84,0.84
27706,0.7,0.7
27707,0.13,0.13
27708,0.73,0.73
27709,0.21,0.21
27710,0.16,0.16
27711,0.77,0.77
27712,0.05,0.05
27713,0.04,0.04
27714,0.08,0.08
27715,0.82,0.82
27716,0.32,0.32
27717,0.15,0.15
27718,0.08,0.08
27719,0.07,0.07
27720,0.15,0.15
27721,0.06,0.06
27722,0.8,0.8
27723,0.79,0.79
27724,0.19,0.19
27725,0.18,0.18
27726,0.43,0.43
27727,0.54,0.54
27728,0.13,0.13
27729,0.04,0.04
27730,0.13,0.13
27731,0.83,0.83
27732,0.79,0.79
27733,0.18,0.18
27734,0.43,0.43
27735,0.77,0.77
27736,0.37,0.37
27737,0.22,0.22
27738,0.87,0.87
27739,0.57,0.57
27740,0.12,0.12
27741,0.77,0.77
27742,0.59,0.59
27743,0.3,0.3
27744,0.28,0.28
27745,0.82,0.82
27746,0.47,0.47
27747,0.13,0.13
27748,0.16,0.16
27749,0.73,0.73
27750,0.06,0.06
27751,0.24,0.24
27752,0.71,0.71
27753,0.15,0.15
27754,0.81,0.81
27755,0.86,0.86
27756,0.07,0.07
27757,0.02,0.02
27758,0.13,0.13
27759,0.09,0.09
27760,0.84,0.84
27761,0.51,0.51
27762,0.09,0.09
27763,0.56,0.56
27764,0.14,0.14
27765,0.22,0.22
27766,0.73,0.73
27767,0.89,0.89
27768,0.14,0.14
27769,0.15,0.15
27770,0.19,0.19
27771,0.76,0.76
27772,0.76,0.76
27773,0.07,0.07
27774,0.08,0.08
27775,0.06,0.06
27776,0.08,0.08
27777,0.23,0.23
27778,0.08,0.08
27779,0.12,0.12
27780,0.17,0.17
27781,0.19,0.19
27782,0.76,0.76
27783,0.14,0.14
27784,0.23,0.23
27785,0.08,0.08
27786,0.77,0.77
27787,0.53,0.53
27788,0.23,0.23
27789,0.58,0.58
27790,0.31,0.31
27791,0.08,0.08
27792,0.56,0.56
27793,0.32,0.32
27794,0.37,0.37
27795,0.76,0.76
27796,0.41,0.41
27797,0.83,0.83
27798,0.07,0.07
27799,0.2,0.2
27800,0.16,0.16
27801,0.06,0.06
27802,0.58,0.58
27803,0.02,0.02
27804,0.83,0.83
27805,0.11,0.11
27806,0.62,0.62
27807,0.81,0.81
27808,0.59,0.59
27809,0.83,0.83
27810,0.09,0.09
27811,0.12,0.12
27812,0.04,0.04
27813,0.13,0.13
27814,0.11,0.11
27815,0.06,0.06
27816,0.82,0.82
27817,0.03,0.03
27818,0.18,0.18
27819,0.38,0.38
27820,0.77,0.77
27821,0.13,0.13
27822,0.09,0.09
27823,0.71,0.71
27824,0.78,0.78
27825,0.09,0.09
27826,0.21,0.21
27827,0.22,0.22
27828,0.06,0.06
27829,0.14,0.14
27830,0.13,0.13
27831,0.08,0.08
27832,0.17,0.17
27833,0.17,0.17
27834,0.74,0.74
27835,0.12,0.12
27836,0.92,0.92
27837,0.8,0.8
27838,0.11,0.11
27839,0.19,0.19
27840,0.1,0.1
27841,0.14,0.14
27842,0.19,0.19
27843,0.84,0.84
27844,0.74,0.74
27845,0.54,0.54
27846,0.28,0.28
27847,0.68,0.68
27848,0.93,0.93
27849,0.74,0.74
27850,0.21,0.21
27851,0.16,0.16
27852,0.22,0.22
27853,0.12,0.12
27854,0.45,0.45
27855,0.17,0.17
27856,0.06,0.06
27857,0.54,0.54
27858,0.87,0.87
27859,0.49,0.49
27860,0.09,0.09
27861,0.17,0.17
27862,0.12,0.12
27863,0.16,0.16
27864,0.04,0.04
27865,0.07,0.07
27866,0.91,0.91
27867,0.16,0.16
27868,0.87,0.87
27869,0.07,0.07
27870,0.09,0.09
27871,0.13,0.13
27872,0.14,0.14
27873,0.14,0.14
27874,0.48,0.48
27875,0.73,0.73
27876,0.33,0.33
27877,0.11,0.11
27878,0.81,0.81
27879,0.3,0.3
27880,0.12,0.12
27881,0.11,0.11
27882,0.05,0.05
27883,0.08,0.08
27884,0.09,0.09
27885,0.04,0.04
27886,0.06,0.06
27887,0.74,0.74
27888,0.22,0.22
27889,0.09,0.09
27890,0.14,0.14
27891,0.54,0.54
27892,0.12,0.12
27893,0.21,0.21
27894,0.09,0.09
27895,0.42,0.42
27896,0.15,0.15
27897,0.05,0.05
27898,0.08,0.08
27899,0.29,0.29
27900,0.8,0.8
27901,0.02,0.02
27902,0.03,0.03
27903,0.77,0.77
27904,0.09,0.09
27905,0.13,0.13
27906,0.08,0.08
27907,0.89,0.89
27908,0.77,0.77
27909,0.09,0.09
27910,0.11,0.11
27911,0.38,0.38
27912,0.58,0.58
27913,0.12,0.12
27914,0.52,0.52
27915,0.19,0.19
27916,0.39,0.39
27917,0.16,0.16
27918,0.62,0.62
27919,0.29,0.29
27920,0.8,0.8
27921,0.25,0.25
27922,0.18,0.18
27923,0.65,0.65
27924,0.08,0.08
27925,0.04,0.04
27926,0.1,0.1
27927,0.1,0.1
27928,0.6,0.6
27929,0.75,0.75
27930,0.63,0.63
27931,0.56,0.56
27932,0.06,0.06
27933,0.18,0.18
27934,0.72,0.72
27935,0.26,0.26
27936,0.1,0.1
27937,0.19,0.19
27938,0.08,0.08
27939,0.08,0.08
27940,0.03,0.03
27941,0.17,0.17
27942,0.01,0.01
27943,0.13,0.13
27944,0.23,0.23
27945,0.13,0.13
27946,0.16,0.16
27947,0.84,0.84
27948,0.13,0.13
27949,0.06,0.06
27950,0.82,0.82
27951,0.1,0.1
27952,0.7,0.7
27953,0.11,0.11
27954,0.2,0.2
27955,0.71,0.71
27956,0.36,0.36
27957,0.08,0.08
27958,0.8,0.8
27959,0.26,0.26
27960,0.75,0.75
27961,0.16,0.16
27962,0.74,0.74
27963,0.19,0.19
27964,0.15,0.15
27965,0.02,0.02
27966,0.73,0.73
27967,0.04,0.04
27968,0.08,0.08
27969,0.78,0.78
27970,0.07,0.07
27971,0.64,0.64
27972,0.41,0.41
27973,0.41,0.41
27974,0.13,0.13
